Order_ID,Order_Date,Ship_Date,Customer_ID,Segment,City,State,Product_Category,Product_SubCategory,Quantity,Unit_Price,Discount,Shipping_Mode,Profit_Margin
ORD1027,2023-07-07,2023-04-11,CUST143,Consumer,Bangalore,Maharashtra,Office Supplies,Laptops,2,286.8854186879799,0.1,Express,0.2605774197040015
ORD1028,2023-08-05,2023-12-26,CUST30,consumer,Chennai,Karnataka,Technology,Phones,9,430.74930691545313,0.0, First Class,0.40593915728799346
ORD1029,2023-01-17,2023-05-30,CUST122,Corporate,Delhi,Telangana,Furniture,Binders,4,67.56319044948152,0.05,Express,0.4660705348746391
ORD1030,2023-08-10,2023-11-23,CUST125,Home Office,Bangalore,Tamil Nadu,Technology,Tables,12,394.9766349527835,0.05,Same Day,0.26539885482534875
ORD1031,2023-03-04,2023-03-25,CUST37,Consumer,Hyderabad,Karnataka,Technology,Chairs,13,340.0232255404569,0.15, First Class,0.2694343307516316
ORD1032,2023-01-24,2023-03-19,CUST124,Consumer,Delhi,Tamil Nadu,Technology,Binders,2,66.35535904576793,0.05,Standard,0.38105084252946086
ORD1033,2023-12-13,2023-01-12,CUST101,Consumer,Hyderabad,Maharashtra,Technology,Paper,10,350.46215763714315,0.2, First Class,0.4771088004421107
ORD1034,2023-12-19,2023-08-26,CUST35,Home Office,Bangalore,Telangana,Furniture,Binders,1,226.3581715511169,0.1, First Class,0.2068243760957441
ORD1035,2023-10-23,2023-05-15,CUST87,home office,Delhi,Maharashtra,Technology,Laptops,4,473.0425449223631,0.0, First Class,0.2760576826151747
ORD1036,2023-04-22,2023-11-12,CUST134,Home Office,Hyderabad,Telangana,Office Supplies,Paper,9,79.38956180277066,0.2, First Class,0.41838929742092046
ORD1037,2023-02-05,2023-06-22,CUST18,Corporate,Chennai,Telangana,Technology,Paper,12,324.98836149971163,0.2,Standard,0.3438774277496154
ORD1038,2023-09-07,2023-12-20,CUST113,Corporate,Chennai,Tamil Nadu,Technology,Phones,9,197.1702222768435,0.2,Standard,0.1442345375855819
ORD1039,2023-06-10,2023-03-09,CUST29,Consumer,Bangalore,Maharashtra,Furniture,Binders,4,478.8391885895301,0.2,Standard,0.3510930942249063
ORD1040,2023-02-14,2023-11-14,CUST77,Home Office,Delhi,Maharashtra,Furniture,Laptops,9,171.68769869223547,0.0, First Class,0.17469851383893076
ORD1041,2023-06-30,2023-10-11,CUST59,Consumer,Mumbai,Karnataka,Office Supplies,Chairs,12,481.4710956509821,0.15,Same Day,0.3040863736313617
ORD1042,2023-01-13,2023-10-09,CUST126,home office,Delhi,Maharashtra,Technology,Phones,6,451.72806703936703,0.05,Same Day,0.31164130706417537
ORD1043,2023-11-28,2023-11-05,CUST145,Home Office,Chennai,Karnataka,Technology,Binders,1,142.4877853022216,0.2,Standard,0.4504813448899939
ORD1044,2023-04-05,2023-10-05,CUST109,Home Office,Hyderabad,Delhi,Technology,Chairs,10,403.73547064494954,0.05,Same Day,0.2849977096049753
ORD1045,2023-08-30,2023-08-17,CUST22,Corporate,Mumbai,Delhi,Office Supplies,Binders,13,497.8460588837179,0.05,Same Day,0.2117769688943577
ORD1046,2023-04-24,2023-02-17,CUST68,Corporate,Bangalore,Delhi,Furniture,Phones,14,133.80487106392835,0.2,Same Day,0.19238653928641264
ORD1047,2023-07-09,2023-01-12,CUST69,Home Office,Mumbai,Maharashtra,Office Supplies,Chairs,6,224.02081296842664,0.15,Same Day,0.4497007506737345
ORD1048,2023-07-19,2023-12-03,CUST49,Consumer,Bangalore,Maharashtra,Technology,Phones,9,264.8885609177122,0.05,Same Day,0.16840434176729135
ORD1049,2023-03-09,2023-08-14,CUST141,home office,Mumbai,Karnataka,Furniture,Binders,13,154.51625654389352,0.1,Express,0.27034742435325754
ORD1050,2023-12-20,2023-10-18,CUST109,Home Office,Bangalore,Telangana,Furniture,Paper,2,17.47977142655458,0.05,Standard,0.1748692459707788
ORD1051,2023-10-10,2023-06-25,CUST86,Consumer,Bangalore,Karnataka,Office Supplies,Tables,6,117.86332965678807,0.2, First Class,0.4093216160457501
ORD1052,2023-12-09,2023-02-12,CUST53,Home Office,Mumbai,Delhi,Furniture,Paper,2,148.14907332746165,0.0,Same Day,0.28974905598984757
ORD1053,2023-11-23,2023-02-15,CUST123,Consumer,Mumbai,Karnataka,Furniture,Phones,4,227.36385364591172,0.05,Express,0.24045747622272484
ORD1054,2023-08-07,2023-09-08,CUST87,Corporate,Bangalore,Telangana,Technology,Phones,8,93.84021442256692,0.15, First Class,0.24443985625058673
ORD1055,2023-12-03,2023-06-07,CUST131,Corporate,Chennai,Maharashtra,Technology,Phones,13,437.89463477891957,0.1,Express,0.4408856826891918
ORD1056,2023-02-02,2023-03-15,CUST42,consumer,Mumbai,Karnataka,Furniture,Chairs,7,355.4064550383547,0.1,Same Day,0.3215095817177752
ORD1057,2023-03-13,2023-06-29,CUST98,Corporate,Delhi,Delhi,Furniture,Laptops,11,51.74823400423437,0.0,Same Day,0.3871471404525054
ORD1058,2023-01-17,2023-01-24,CUST109,Corporate,Hyderabad,Delhi,Office Supplies,Phones,12,328.5453010585664,0.0,Same Day,0.45881540650027386
ORD1059,2023-04-29,2023-08-01,CUST51,Consumer,Bangalore,Maharashtra,Office Supplies,Paper,13,330.291673438754,0.05,Same Day,0.46069667041625684
ORD1060,2023-05-22,2023-04-09,CUST85,Corporate,Bangalore,Karnataka,Furniture,Tables,9,478.5483750853776,0.2, First Class,0.23140362173514528
ORD1061,2023-04-10,2023-10-19,CUST127,Home Office,Hyderabad,Telangana,Technology,Phones,7,11.480226964519012,0.15, First Class,0.4809805052585542
ORD1062,2023-10-30,2023-04-24,CUST21,Home Office,Chennai,Maharashtra,Furniture,Phones,1,131.48690040484553,0.1,Express,0.10995035280584219
ORD1063,2023-05-11,2023-06-16,CUST44,consumer,Hyderabad,Karnataka,Furniture,Phones,2,464.6178248939046,0.0,Standard,0.2507342244064663
ORD1064,2023-04-13,2023-01-05,CUST139,Corporate,Mumbai,Tamil Nadu,Technology,Chairs,6,466.7456185451587,0.15,Same Day,0.4583195430035366
ORD1065,2023-07-18,2023-01-27,CUST103,Home Office,Hyderabad,Delhi,Technology,Phones,7,363.0873454916123,0.2,Express,0.20985475192679318
ORD1066,2023-02-21,2023-05-24,CUST68,Home Office,Bangalore,Telangana,Office Supplies,Paper,3,385.2240273132946,0.1,Express,0.20923258012852736
ORD1067,2023-10-20,2023-06-25,CUST129,Corporate,Hyderabad,Telangana,Office Supplies,Binders,9,54.826649385527084,0.1,Express,0.2210489140327555
ORD1068,2023-01-28,2023-08-08,CUST92,Corporate,Delhi,Telangana,Office Supplies,Laptops,13,261.79915904133446,0.2,Same Day,0.3449253539387689
ORD1069,2023-12-27,2023-04-17,CUST24,Home Office,Mumbai,Delhi,Office Supplies,Phones,7,123.47566573160971,0.1,Same Day,0.27533311024574153
ORD1070,2023-10-09,2023-09-11,CUST125,home office,Hyderabad,Karnataka,Technology,Chairs,14,98.79684137067245,0.2,Express,0.39069393454133705
ORD1071,2023-03-14,2023-11-10,CUST141,Consumer,Bangalore,Maharashtra,Furniture,Paper,6,407.04861657043296,0.1,Same Day,0.4579642570258663
ORD1072,2023-01-03,2023-10-12,CUST111,Consumer,Mumbai,Karnataka,Office Supplies,Phones,13,76.16868697346824,0.05,Express,0.36967974997714426
ORD1073,2023-10-25,2023-01-15,CUST98,Home Office,Bangalore,Maharashtra,Office Supplies,Chairs,6,239.63930212822876,0.2, First Class,0.1817866880790302
ORD1074,2023-09-16,2023-06-25,CUST139,Consumer,Chennai,Telangana,Technology,Binders,1,469.9033373971562,0.15,Same Day,0.4730727609442009
ORD1075,2023-09-24,2023-02-08,CUST17,Home Office,Delhi,Karnataka,Technology,Tables,13,101.05770722701784,0.05, First Class,0.2057971493389914
ORD1076,2023-10-09,2023-03-30,CUST99,Home Office,Chennai,Telangana,Furniture,Phones,5,489.21677763173494,0.15,Standard,0.15995771813126325
ORD1077,2023-01-28,2023-12-27,CUST82,consumer,Delhi,Tamil Nadu,Furniture,Paper,10,497.20111302291895,0.1,Same Day,0.13598691154438436
ORD1078,2023-05-11,2023-02-22,CUST104,Consumer,Hyderabad,Telangana,Technology,Chairs,3,282.2524057943774,0.15,Standard,0.32535349626646626
ORD1079,2023-02-12,2023-07-02,CUST19,Corporate,Mumbai,Telangana,Office Supplies,Chairs,7,93.36994268680738,0.05,Express,0.14550498499226072
ORD1080,2023-11-12,2023-08-14,CUST85,Corporate,Hyderabad,Maharashtra,Office Supplies,Phones,10,164.89139509103887,0.2,Same Day,0.1555103536450523
ORD1081,2023-08-16,2023-09-14,CUST8,Corporate,Delhi,Tamil Nadu,Office Supplies,Chairs,3,218.00148801150223,0.0,Same Day,0.22001219223819868
ORD1082,2023-05-01,2023-07-24,CUST28,Home Office,Delhi,Telangana,Furniture,Tables,5,161.56886993552925,0.15,Same Day,0.21266120387378554
ORD1083,2023-01-24,2023-01-04,CUST5,Consumer,Delhi,Telangana,Office Supplies,Chairs,7,147.51143413949274,0.0,Standard,0.34169580413285694
ORD1084,2023-04-24,2023-04-30,CUST145,home office,Bangalore,Tamil Nadu,Office Supplies,Laptops,14,486.3925575160152,0.15,Standard,0.4266981117890726
ORD1085,2023-04-29,2023-07-08,CUST101,Consumer,Mumbai,Tamil Nadu,Technology,Laptops,3,85.14876543371537,0.15,Express,0.40453986248115703
ORD1086,2023-09-24,2023-02-02,CUST118,Home Office,Hyderabad,Karnataka,Office Supplies,Chairs,13,369.3306752712625,0.2, First Class,0.2049937818865907
ORD1087,2023-08-21,2023-05-08,CUST147,Corporate,Hyderabad,Maharashtra,Technology,Phones,13,10.201041825195688,0.1, First Class,0.19812419919439198
ORD1088,2023-11-20,2023-01-13,CUST64,Corporate,Chennai,Tamil Nadu,Office Supplies,Laptops,10,302.12950800716465,0.05,Standard,0.4863166120427871
ORD1089,2023-06-22,2023-01-29,CUST91,Corporate,Delhi,Tamil Nadu,Furniture,Paper,2,458.81207193748565,0.05,Same Day,0.10329449663678406
ORD1090,2023-02-13,2023-05-25,CUST117,Home Office,Delhi,Delhi,Office Supplies,Laptops,6,151.0877061056773,0.05, First Class,0.45188821322408634
ORD1091,2023-09-18,2023-02-18,CUST98,consumer,Delhi,Tamil Nadu,Office Supplies,Chairs,8,100.90772787628241,0.1, First Class,0.179891407648962
ORD1092,2023-10-05,2023-07-27,CUST11,Consumer,Hyderabad,Maharashtra,Technology,Phones,4,329.32309949042923,0.0,Standard,0.47891372923590714
ORD1093,2023-07-24,2023-09-09,CUST54,Corporate,Chennai,Telangana,Technology,Binders,9,359.17468957621264,0.05,Express,0.2369229139310079
ORD1094,2023-10-09,2023-10-20,CUST47,Corporate,Bangalore,Telangana,Technology,Phones,12,347.1349542864708,0.0,Standard,0.27614070955730097
ORD1095,2023-06-30,2023-03-15,CUST140,Corporate,Mumbai,Telangana,Office Supplies,Phones,12,166.46527121047328,0.1,Standard,0.38284824557775243
ORD1096,2023-07-10,2023-03-03,CUST149,Corporate,Bangalore,Telangana,Office Supplies,Phones,8,133.57917705807213,0.1,Same Day,0.33506762058930417
ORD1097,2023-06-06,2023-02-08,CUST139,Consumer,Hyderabad,Delhi,Furniture,Paper,7,478.40021198140164,0.2,Standard,0.22717573188272913
ORD1098,2023-01-10,2023-08-21,CUST5,home office,Delhi,Tamil Nadu,Office Supplies,Tables,14,462.41675905226543,0.05,Same Day,0.32153236634712945
ORD1099,2023-02-09,2023-09-15,CUST20,Home Office,Mumbai,Telangana,Furniture,Chairs,7,234.08513884748194,0.2,Express,0.39228275374515453
ORD1100,2023-01-12,2023-01-12,CUST46,Home Office,Hyderabad,Karnataka,Technology,Tables,3,424.63499441564295,0.05,Same Day,0.11693397836099684
ORD1101,2023-08-21,2023-12-08,CUST12,Home Office,Hyderabad,Telangana,Technology,Binders,14,231.63850404080506,0.1,Express,0.10447972210228165
ORD1102,2023-04-25,2023-01-19,CUST70,Corporate,Hyderabad,Tamil Nadu,Technology,Tables,6,217.95061885553008,0.1,Express,0.28322677562915655
ORD1103,2023-07-05,2023-07-17,CUST17,Corporate,Mumbai,Telangana,Furniture,Chairs,13,86.81384432365438,0.15,Express,0.1527346471214057
ORD1104,2023-11-28,2023-09-16,CUST115,Corporate,Mumbai,Delhi,Office Supplies,Chairs,13,218.93896768106669,0.15,Standard,0.36573771658588583
ORD1105,2023-04-01,2023-11-14,CUST147,home office,Chennai,Maharashtra,Technology,Binders,5,273.33429991390545,0.1,Same Day,0.1856209824909737
ORD1106,2023-05-30,2023-09-18,CUST48,Corporate,Chennai,Maharashtra,Office Supplies,Chairs,1,21.02712044005637,0.1, First Class,0.27314044271826843
ORD1107,2023-10-03,2023-10-20,CUST108,Corporate,Bangalore,Tamil Nadu,Office Supplies,Binders,11,227.61537253594915,0.0,Standard,0.1790683747497076
ORD1108,2023-03-25,2023-05-04,CUST52,Consumer,Mumbai,Maharashtra,Technology,Binders,3,392.8645470136482,0.0,Express,0.31939343429964984
ORD1109,2023-01-29,2023-10-25,CUST96,Consumer,Mumbai,Maharashtra,Furniture,Chairs,13,343.22256762339225,0.2, First Class,0.14642138375382757
ORD1110,2023-04-16,2023-01-30,CUST70,Corporate,Mumbai,Karnataka,Office Supplies,Laptops,12,321.22692454332815,0.15,Standard,0.1092427411149921
ORD1111,2023-02-28,2023-11-23,CUST102,Consumer,Chennai,Tamil Nadu,Technology,Binders,1,455.6821599342292,0.15, First Class,0.12045265524267888
ORD1112,2023-12-06,2023-07-19,CUST75,consumer,Hyderabad,Tamil Nadu,Office Supplies,Chairs,4,18.835684814362708,0.1,Express,0.48170337660612395
ORD1113,2023-10-22,2023-10-26,CUST143,Corporate,Delhi,Maharashtra,Office Supplies,Laptops,10,282.95331723419474,0.1, First Class,0.15691448744437433
ORD1114,2023-08-20,2023-06-15,CUST82,Corporate,Chennai,Maharashtra,Office Supplies,Binders,3,395.80093572075646,0.2, First Class,0.3833913012547341
ORD1115,2023-11-15,2023-08-23,CUST92,Corporate,Mumbai,Maharashtra,Office Supplies,Laptops,11,275.25433752362096,0.15,Express,0.1271704816891305
ORD1116,2023-10-21,2023-07-12,CUST4,Corporate,Chennai,Delhi,Office Supplies,Paper,4,168.7088207643858,0.0, First Class,0.14326414089407288
ORD1117,2023-03-10,2023-09-25,CUST135,Home Office,Bangalore,Telangana,Furniture,Phones,9,76.76277689506915,0.05,Standard,0.3035505005637339
ORD1118,2023-11-22,2023-01-30,CUST109,Home Office,Mumbai,Delhi,Furniture,Paper,3,444.9059051899337,0.2, First Class,0.2859483720617375
ORD1119,2023-07-16,2023-01-23,CUST48,corporate,Bangalore,Tamil Nadu,Technology,Laptops,12,240.67357226992547,0.05,Same Day,0.4806321237759479
ORD1120,2023-10-22,2023-04-01,CUST73,Consumer,Mumbai,Karnataka,Furniture,Binders,6,440.2764465229937,0.0,Standard,0.477934181208295
ORD1121,2023-11-24,2023-02-28,CUST72,Corporate,Chennai,Telangana,Furniture,Chairs,6,297.0675399922525,0.0, First Class,0.4118434570169861
ORD1122,2023-04-27,2023-11-15,CUST116,Corporate,Hyderabad,Karnataka,Furniture,Tables,7,340.3541371413504,0.05,Same Day,0.3408407320509399
ORD1123,2023-02-10,2023-03-22,CUST81,Consumer,Delhi,Tamil Nadu,Office Supplies,Chairs,9,404.08796564544053,0.2,Same Day,0.28198412695720443
ORD1124,2023-03-25,2023-12-23,CUST81,Home Office,Bangalore,Tamil Nadu,Office Supplies,Tables,12,332.98621685406584,0.05,Same Day,0.24247141373136843
ORD1125,2023-06-05,2023-05-03,CUST113,Corporate,Chennai,Karnataka,Technology,Tables,7,205.04687193267947,0.2, First Class,0.47883501879022217
ORD1126,2023-10-26,2023-03-08,CUST96,corporate,Hyderabad,Karnataka,Technology,Binders,14,261.680358125039,0.2,Express,0.3411635245698742
ORD1127,2023-11-11,2023-10-16,CUST72,Home Office,Chennai,Karnataka,Technology,Laptops,1,403.49230709118115,0.1,Same Day,0.3316290110743978
ORD1128,2023-01-03,2023-08-29,CUST147,Home Office,Bangalore,Tamil Nadu,Office Supplies,Chairs,8,193.08864522276227,0.15,Express,0.19276044870756595
ORD1129,2023-07-06,2023-07-01,CUST63,Consumer,Delhi,Maharashtra,Furniture,Laptops,5,200.17951381656357,0.15,Standard,0.11867912715404523
ORD1130,2023-06-02,2023-07-22,CUST38,Home Office,Chennai,Karnataka,Furniture,Paper,9,56.888156868420566,0.0,Express,0.47807543190381774
ORD1131,2023-03-23,2023-09-20,CUST67,Home Office,Mumbai,Telangana,Office Supplies,Binders,10,458.14637325865635,0.1,Express,0.2254941035378616
ORD1132,2023-02-13,2023-03-25,CUST69,Home Office,Hyderabad,Tamil Nadu,Technology,Binders,13,54.60779432326645,0.15,Express,0.2770356093297835
ORD1133,2023-05-04,2023-12-30,CUST13,consumer,Chennai,Delhi,Technology,Paper,12,327.6224969497924,0.2,Express,0.14585597743428275
ORD1134,2023-12-11,2023-12-22,CUST31,Home Office,Hyderabad,Delhi,Technology,Chairs,5,212.46529461337087,0.2,Express,0.4347697319637168
ORD1135,2023-04-28,2023-08-26,CUST114,Home Office,Mumbai,Telangana,Office Supplies,Phones,5,208.75350122516676,0.05,Standard,0.11105273314237225
ORD1136,2023-07-09,2023-03-14,CUST22,Consumer,Delhi,Maharashtra,Technology,Paper,12,342.9803999206151,0.05,Standard,0.4335963048396386
ORD1137,2023-09-14,2023-09-06,CUST93,Home Office,Delhi,Karnataka,Technology,Chairs,12,42.875928988640574,0.2,Express,0.15611400511518672
ORD1138,2023-05-13,2023-01-27,CUST67,Home Office,Mumbai,Tamil Nadu,Office Supplies,Tables,14,300.91583364620294,0.2,Express,0.45462564505246084
ORD1139,2023-12-21,2023-01-12,CUST54,Consumer,Hyderabad,Karnataka,Furniture,Binders,2,388.29557512645385,0.05,Same Day,0.39190905493446293
ORD1140,2023-12-18,2023-04-05,CUST138,corporate,Chennai,Tamil Nadu,Office Supplies,Chairs,12,415.8242513644312,0.15,Standard,0.16586810500292204
ORD1141,2023-04-02,2023-06-18,CUST42,Consumer,Mumbai,Delhi,Office Supplies,Laptops,11,93.5598908029499,0.0, First Class,0.3263271971437872
ORD1142,2023-07-01,2023-11-13,CUST64,Home Office,Bangalore,Karnataka,Office Supplies,Laptops,3,449.7353345383051,0.05,Standard,0.2250625257420878
ORD1143,2023-04-20,2023-09-23,CUST126,Home Office,Hyderabad,Telangana,Office Supplies,Binders,10,331.5115850052467,0.15, First Class,0.17129323956463338
ORD1144,2023-04-14,2023-09-29,CUST21,Home Office,Delhi,Maharashtra,Furniture,Paper,9,442.1088524021346,0.15,Same Day,0.44367287976444336
ORD1145,2023-01-14,2023-06-05,CUST35,Consumer,Mumbai,Telangana,Technology,Phones,7,247.78755138399714,0.15,Express,0.26140910660289174
ORD1146,2023-08-11,2023-05-07,CUST30,Home Office,Delhi,Maharashtra,Office Supplies,Paper,1,275.59633909762897,0.1,Same Day,0.259417485746153
ORD1147,2023-07-03,2023-05-16,CUST57,home office,Hyderabad,Karnataka,Furniture,Chairs,3,460.32875574404886,0.1,Express,0.16795466992264801
ORD1148,2023-01-19,2023-12-27,CUST47,Consumer,Delhi,Karnataka,Technology,Paper,12,,0.15,Standard,0.25322627043431145
ORD1149,2023-04-12,2023-01-15,CUST19,Corporate,Mumbai,Maharashtra,Technology,Binders,2,229.59882795081097,0.2,Express,0.44864673853154013
ORD1150,2023-11-28,2023-11-13,CUST114,Corporate,Hyderabad,Delhi,Technology,Chairs,1,144.46218950148406,0.1, First Class,0.24525148419585438
ORD1151,2023-03-29,2023-07-31,CUST8,Home Office,Bangalore,Tamil Nadu,Office Supplies,Tables,9,202.65351293648942,0.05, First Class,0.48064142499991525
ORD1152,2023-02-22,2023-06-10,CUST26,Consumer,Mumbai,Telangana,Office Supplies,Paper,8,200.00452097957736,0.1,Same Day,0.478523559683355
ORD1153,2023-06-28,2023-09-22,CUST113,Home Office,Chennai,Telangana,Technology,Paper,5,150.56476874156903,0.2,Standard,0.15795946372293843
ORD1154,2023-12-26,2023-06-27,CUST71,consumer,Mumbai,Telangana,Technology,Phones,11,141.60400612315362,0.0, First Class,0.17092450140905796
ORD1155,2023-03-30,2023-11-15,CUST30,Consumer,Hyderabad,Karnataka,Technology,Chairs,12,431.92083887506254,0.1,Same Day,0.44506962813275563
ORD1156,2023-09-03,2023-11-25,CUST135,Corporate,Mumbai,Telangana,Technology,Laptops,2,44.232341135484226,0.15,Standard,0.2571043675698877
ORD1157,2023-10-05,2023-06-03,CUST67,Corporate,Bangalore,Tamil Nadu,Technology,Paper,1,342.0294792288011,0.15,Standard,0.10174959291320373
ORD1158,2023-03-28,2023-04-12,CUST65,Consumer,Bangalore,Tamil Nadu,Technology,Binders,7,94.68182521366163,0.15,Same Day,0.2095487278821484
ORD1159,2023-09-23,2023-08-05,CUST36,Home Office,Chennai,Maharashtra,Furniture,Paper,13,178.80788776309097,0.0, First Class,0.339051597278224
ORD1160,2023-05-15,2023-11-30,CUST25,Corporate,Delhi,Karnataka,Technology,Phones,11,40.15608672607006,0.2, First Class,0.4197063863839873
ORD1161,2023-08-19,2023-03-18,CUST37,home office,Hyderabad,Tamil Nadu,Office Supplies,Tables,11,142.2870820591764,0.05,Same Day,0.15335544683730384
ORD1162,2023-08-20,2023-08-16,CUST1,Corporate,Hyderabad,Delhi,Office Supplies,Phones,2,386.5263248474486,0.2, First Class,0.14421654576669415
ORD1163,2023-07-15,2023-08-19,CUST143,Corporate,Delhi,Karnataka,Office Supplies,Paper,1,443.6575090281567,0.0,Same Day,0.46883706142893267
ORD1164,2023-02-02,2023-09-25,CUST37,Home Office,Bangalore,Karnataka,Technology,Laptops,2,118.54830443215985,0.15, First Class,0.4004593471290331
ORD1165,2023-11-01,2023-02-18,CUST141,Corporate,Bangalore,Tamil Nadu,Office Supplies,Paper,7,237.1384412368717,0.2, First Class,0.3359118403112314
ORD1166,2023-04-28,2023-09-19,CUST136,Corporate,Mumbai,Delhi,Furniture,Chairs,7,240.45878348923114,0.05,Same Day,0.40767471599837124
ORD1167,2023-03-10,2023-11-28,CUST133,Home Office,Chennai,Maharashtra,Technology,Paper,10,438.0518998222698,0.15,Same Day,0.2715417445226554
ORD1168,2023-01-15,2023-03-07,CUST128,corporate,Chennai,Tamil Nadu,Office Supplies,Laptops,6,383.77153590914463,0.05, First Class,0.40338229892365063
ORD1169,2023-08-04,2023-03-28,CUST127,Corporate,Chennai,Delhi,Furniture,Chairs,5,261.40783700034444,0.1,Same Day,0.2487211965098143
ORD1170,2023-09-05,2023-12-21,CUST1,Corporate,Mumbai,Karnataka,Furniture,Binders,3,338.66612823116895,0.05, First Class,0.19763782899704097
ORD1171,2023-01-07,2023-03-08,CUST35,Home Office,Chennai,Delhi,Office Supplies,Chairs,14,425.20397641558975,0.15,Express,0.3916053685171875
ORD1172,2023-07-06,2023-11-08,CUST104,Consumer,Delhi,Karnataka,Furniture,Phones,12,14.674087472517023,0.1,Standard,0.26786891686290737
ORD1173,2023-03-24,2023-06-29,CUST23,Home Office,Mumbai,Tamil Nadu,Office Supplies,Tables,3,207.4161152145238,0.15,Standard,0.4925508417304779
ORD1174,2023-08-24,2023-04-01,CUST9,Consumer,Delhi,Tamil Nadu,Furniture,Phones,11,454.54915196576854,0.15, First Class,0.2397940729232404
